date,nb_deputes,nb_senateurs,nb_soutiens
2020-07-06T04:14:19.292449,32,5,216363
2020-07-06T04:36:50.124633,32,5,216478
2020-07-06T05:13:09.001610,32,5,216821
2020-07-06T05:37:24.720345,32,5,217139
2020-07-06T06:15:03.243006,32,5,217726
2020-07-06T06:37:10.927669,32,5,218114
2020-07-06T07:13:42.480697,32,5,219011
2020-07-06T07:37:09.532351,32,5,219518
2020-07-06T08:15:03.315857,32,5,220366
2020-07-06T08:37:10.265872,32,5,220856
2020-07-06T09:13:36.501604,32,5,221665
2020-07-06T09:37:05.324927,32,5,222176
2020-07-06T10:13:27.796599,32,5,222951
2020-07-06T10:37:04.745465,32,5,223395
2020-07-06T11:12:53.941091,32,5,224055
2020-07-06T11:36:57.557432,32,5,224502
2020-07-06T12:17:22.203505,32,7,225254
2020-07-06T12:36:58.473741,35,7,225709
2020-07-06T13:12:55.359966,35,7,226414
2020-07-06T13:36:59.590623,35,7,226842
2020-07-06T14:13:53.958183,35,7,227438
2020-07-06T14:37:00.779034,35,7,227769
2020-07-06T15:13:31.811682,35,7,228306
2020-07-06T15:37:00.976329,35,7,228651
2020-07-06T16:14:24.852617,35,7,229159
2020-07-06T16:38:00.794405,35,7,229471
2020-07-06T17:12:59.027786,35,7,229978
2020-07-06T17:37:01.351914,35,7,230300
2020-07-06T18:14:28.006275,35,7,230916
2020-07-06T18:37:06.240047,35,7,231289
2020-07-06T19:12:35.488359,35,7,231834
2020-07-06T19:37:03.510497,35,7,232200
2020-07-06T20:15:20.410808,35,7,232830
2020-07-06T20:37:05.859649,35,7,233175
2020-07-06T21:12:55.466409,35,7,233709
2020-07-06T21:37:03.102362,35,7,234012
2020-07-06T22:12:48.385247,35,7,234342
2020-07-06T22:36:50.008067,35,7,234486
2020-07-06T23:12:53.849192,35,7,234619
2020-07-06T23:36:47.088280,35,7,234682
2020-07-07T00:37:22.756134,35,7,234795
2020-07-07T01:14:43.813546,35,7,234842
2020-07-07T01:36:55.043942,35,7,234863
2020-07-07T02:14:43.303088,35,7,234897
2020-07-07T02:36:51.136635,35,7,234919
2020-07-07T03:13:10.882154,35,7,234952
2020-07-07T03:36:47.856644,35,7,234986
2020-07-07T04:14:07.690666,35,7,235049
2020-07-07T04:36:42.977464,35,7,235107
2020-07-07T05:13:14.313499,35,7,235270
2020-07-07T05:37:18.100175,35,7,235439
2020-07-07T06:15:00.898750,35,7,235783
2020-07-07T06:36:50.124118,35,7,236097
2020-07-07T07:13:35.520245,35,7,236656
2020-07-07T07:37:11.589237,35,7,237006
2020-07-07T08:14:56.306368,35,7,237574
2020-07-07T08:37:05.756462,35,7,237858
2020-07-07T09:13:24.622242,35,7,238348
2020-07-07T09:37:05.017416,35,7,238693
2020-07-07T10:13:30.367812,35,7,239174
2020-07-07T10:36:51.192961,35,7,239492
2020-07-07T11:12:56.493318,35,7,240071
2020-07-07T11:36:59.919490,35,7,240469
2020-07-07T12:17:17.313778,35,7,241081
2020-07-07T12:37:00.333994,35,7,241299
2020-07-07T13:13:02.929059,35,7,241722
2020-07-07T13:37:15.081139,35,7,241984
2020-07-07T14:33:32.244621,35,7,242656
2020-07-07T14:39:37.295503,35,7,242724
2020-07-07T15:13:11.102631,35,7,243083
2020-07-07T15:36:55.690401,35,7,243324
2020-07-07T16:14:20.488861,35,7,243892
2020-07-07T16:36:49.330354,35,7,244189
2020-07-07T17:13:09.452891,35,7,244579
2020-07-07T17:37:02.520112,35,7,244824
2020-07-07T18:36:51.544879,35,7,245315
2020-07-07T19:12:47.374368,35,7,245710
2020-07-07T19:37:06.856442,35,7,246137
2020-07-07T20:15:08.472073,35,7,246768
2020-07-07T20:36:58.156015,35,7,247072
2020-07-07T21:12:48.665933,35,7,247620
2020-07-07T21:36:58.858938,35,7,247863
2020-07-07T22:12:18.517991,35,7,248149
2020-07-07T22:36:47.588901,35,7,248260
2020-07-07T23:12:39.933173,35,7,248371
2020-07-07T23:36:46.006278,35,7,248426
2020-07-08T00:36:56.344046,35,7,248507
2020-07-08T01:14:45.938636,35,7,248534
2020-07-08T01:36:54.719277,35,7,248558
2020-07-08T02:14:56.629269,35,7,248594
2020-07-08T02:37:04.682107,35,7,248614
2020-07-08T03:13:52.492658,35,7,248646
2020-07-08T03:36:46.181127,35,7,248665
2020-07-08T04:14:07.352198,35,7,248729
2020-07-08T04:36:51.872979,35,7,248801
2020-07-08T05:13:03.727050,35,7,248921
2020-07-08T05:37:12.067450,35,7,249057
2020-07-08T06:15:04.176495,35,7,249340
2020-07-08T06:37:01.778695,35,7,249516
2020-07-08T07:13:46.939770,35,7,249820
2020-07-08T07:37:09.984340,35,7,250079
2020-07-08T08:14:55.205430,35,7,250508
2020-07-08T08:37:17.747251,35,7,250961
2020-07-08T09:13:32.649155,35,7,251598
2020-07-08T09:36:54.753027,35,7,252002
2020-07-08T10:13:52.305680,35,7,252528
2020-07-08T10:37:06.637656,35,7,252822
2020-07-08T11:12:53.478975,35,7,253345
2020-07-08T11:36:55.368889,35,7,253678
2020-07-08T12:17:27.787276,35,7,254188
2020-07-08T12:38:31.443391,35,7,254380
2020-07-08T13:12:58.579178,35,7,254720
2020-07-08T13:37:00.080450,35,7,254986
2020-07-08T14:13:58.294358,35,7,255329
2020-07-08T14:36:49.181309,35,7,255513
2020-07-08T15:13:22.587147,35,7,255785
2020-07-08T15:36:52.732378,37,7,255962
2020-07-08T16:14:15.816233,47,7,256288
2020-07-08T16:36:51.299572,47,7,256461
2020-07-08T17:13:28.588588,47,7,256754
2020-07-08T17:37:03.839529,47,7,256931
2020-07-08T18:14:21.905746,47,7,257264
2020-07-08T18:36:47.992198,47,7,257462
2020-07-08T19:12:34.148194,47,7,257818
2020-07-08T19:36:57.098200,47,7,258084
2020-07-08T20:15:32.632560,47,7,258523
2020-07-08T20:36:48.150410,47,7,258733
2020-07-08T21:12:40.303461,47,7,259145
2020-07-08T21:36:48.904851,47,7,259343
2020-07-08T22:13:06.989428,47,7,259593
2020-07-08T22:36:57.590398,47,7,259706
2020-07-08T23:12:57.416777,47,7,259810
2020-07-08T23:37:04.379102,47,7,259856
2020-07-09T00:37:20.069217,47,7,259928
2020-07-09T01:14:37.751652,47,7,259956
2020-07-09T01:36:47.330185,47,7,259967
2020-07-09T02:15:00.937681,47,7,259994
2020-07-09T02:37:12.756933,47,7,260004
2020-07-09T03:13:31.215963,47,7,260030
2020-07-09T03:37:05.476123,47,7,260049
2020-07-09T04:14:31.370105,47,7,260103
2020-07-09T04:37:06.199775,47,7,260137
2020-07-09T05:13:05.048259,47,7,260245
2020-07-09T05:37:04.349457,47,7,260393
2020-07-09T06:14:49.959795,47,7,260678
2020-07-09T06:37:09.619502,47,7,260911
2020-07-09T07:13:20.361151,47,7,261236
2020-07-09T07:36:54.645437,47,7,261451
2020-07-09T08:14:44.707009,47,7,261813
2020-07-09T08:36:58.135940,47,7,262005
2020-07-09T09:13:31.717698,47,7,262319
2020-07-09T09:36:57.514054,47,7,262510
2020-07-09T10:13:32.426302,47,7,262811
2020-07-09T10:37:07.324325,47,7,262973
2020-07-09T11:12:56.472922,47,7,263330
